published,confidence,water_key,water_name,station_abbrev,station_name,water_source,distance_miles,name_similarity,match_score
False,review,atlas-watercode-20420,"Fryingpan River, North Fork",FRYNFNCO,"NORTH FORK FRYINGPAN RIVER NEAR NORRIE, CO.",NORTH FORK FRYINGPAN RIVER,2.93,1.0,0.726
True,high,atlas-watercode-20482,Gore Creek,GORCRECO,"GORE CREEK AT MOUTH NEAR MINTURN, CO",GORE CREEK,0.46,1.0,0.958
True,high,atlas-watercode-21236,Bear River,BERBBLCO,BEAR RIVER BELOW BEAR LAKE,BEAR RIVER,1.67,1.0,0.844
False,review,atlas-watercode-21371,North Inlet,NORINLET,NORTH INLET CREEK,NORTH INLET,2.79,1.0,0.739
False,review,atlas-watercode-21989,"Snake River, North Fork",SNAMONCO,"SNAKE RIVER NEAR MONTEZUMA, CO.",SNAKE RIVER,2.45,0.562,0.456
False,review,atlas-watercode-21989,"Snake River, North Fork",SNAKEYCO,SNAKE RIVER AT KEYSTONE SKI AREA,SNAKE RIVER,2.78,0.562,0.425
True,high,atlas-watercode-22626,Walton Creek,WLTNCKCO,"WALTON CREEK NEAR STEAMBOAT SPRINGS, CO.",WALTON CREEK,1.89,1.0,0.823
True,high,atlas-watercode-23204,Gore Creek,GORUPPCO,"GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.",GORE CREEK,0.92,1.0,0.914
False,high,atlas-watercode-23228,Homestake Creek,HOMOUTCO,HOMESTAKE RESERVOIR (OUTFLOW),HOMESTAKE CREEK,1.31,1.0,0.878
False,high,atlas-watercode-23228,Homestake Creek,HOMOUTCO,HOMESTAKE RESERVOIR (OUTFLOW),HOMESTAKE CREEK,1.31,1.0,0.878
False,high,atlas-watercode-23228,Homestake Creek,HOMGOLCO,"HOMESTAKE CREEK AT GOLD PARK, CO.",HOMESTAKE CREEK,1.75,1.0,0.837
True,high,atlas-watercode-24454,Rocky Fork Creek,RFCMERCO,"ROCKY FORK CREEK NEAR MEREDITH, CO.",ROCKY FORK CREEK,0.78,1.0,0.927
True,high,atlas-watercode-27599,Fryingpan River,FRYIVLCO,"FRYINGPAN RIVER NEAR IVANHOE LAKE, CO.",FRYINGPAN RIVER,1.23,1.0,0.885
False,review,atlas-watercode-29480,Cottonwood Creek,COCRHSCO,COTTONWOOD CREEK BELOW HOT SPRINGS,COTTONWOOD CREEK,2.84,1.0,0.735
False,review,atlas-watercode-29480,Cottonwood Creek,COCRBVCO,COTTONWOOD CREEK NEAR BUENA VISTA,COTTONWOOD CREEK,2.85,1.0,0.734
False,review,atlas-watercode-29492,"Cottonwood Creek, Middle",MCWCRLCO,MIDDLE COTTONWOOD CREEK BELOW RAINBOW LAKE,SOUTH COTTONWOOD CREEK,2.82,0.651,0.485
False,review,atlas-watercode-29492,"Cottonwood Creek, Middle",SOCWCRCO,SOUTH COTTONWOOD CREEK BELOW COTTONWOOD RESERVOIR,SOUTH COTTONWOOD CREEK,2.88,0.6,0.444
True,high,atlas-watercode-29771,Fourmile Creek,FOUHARCO,FOUR MILE CREEK NEAR HARTSEL,FOURMILE CREEK,0.72,1.0,0.932
True,high,atlas-watercode-29783,French Creek,FRNCRKCO,FRENCH CREEK ABOVE CONFLUENCE WITH MICHIGAN CREEK,FRENCH CREEK,1.16,1.0,0.891
False,review,atlas-watercode-30813,"South Platte River, South Fork",MFKSTMCO,MIDDLE FORK SOUTH PLATTE AT SANTA MARIA,MIDDLE FORK SOUTH PLATTE RIVER,2.41,0.697,0.557
True,high,atlas-watercode-30825,"South Platte River, South Fork",SFKANTCO,SOUTH FORK OF SOUTH PLATTE ABOVE ANTERO,SOUTH FORK SOUTH PLATTE RIVER,0.78,1.0,0.927
True,high,atlas-watercode-30875,"South Platte River, Middle Fork",MFKBLMCO,MIDDLE FORK SOUTH PLATTE BELOW MONTGOMERY RESERVOIR NEAR ALMA,MIDDLE FORK SOUTH PLATTE RIVER,1.91,1.0,0.822
False,review,atlas-watercode-30875,"South Platte River, Middle Fork",MFKABMCO,MIDDLE FORK SOUTH PLATTE ABOVE MONTGOMERY RESERVOIR NEAR ALMA,MIDDLE FORK SOUTH PLATTE RIVER,2.5,1.0,0.767
True,high,atlas-watercode-31390,"South Platte River, Middle Fork",MFKSTMCO,MIDDLE FORK SOUTH PLATTE AT SANTA MARIA,MIDDLE FORK SOUTH PLATTE RIVER,1.62,1.0,0.849
True,high,atlas-watercode-32641,"South Platte River, Middle Fork",MFKSTMCO,MIDDLE FORK SOUTH PLATTE AT SANTA MARIA,MIDDLE FORK SOUTH PLATTE RIVER,1.96,1.0,0.817
False,high,atlas-watercode-37994,Animas River,ANIALPCO,"ANIMAS RIVER BLW DURANGO PUMP PLANT NR DURANGO, CO",ANIMAS RIVER,0.9,1.0,0.916
